,title,score,author,genre,Story,Url,id
11,겟백,9.98,세윤,"에피소드, 드라마","7년 전, 운명이 뒤바뀐 소녀들. 태어날 때 부터 타고난 능력을 지닌 다정과 그런 천재가 부러웠던 언니 은정.  그렇게 하루 하루가 지옥이었다!",https://comic.naver.com/webtoon/list?titleId=727798,727798
12,여주실격!,9.96,기맹기,"스토리, 드라마",'약'한 여배우 천리사더이상 배우같은건 하고 싶지 않다던그녀의 복귀 스토리!,https://comic.naver.com/webtoon/list?titleId=738143,738143
13,겟라이프,9.86,MOOHAK,"스토리, 판타지","그 것은... 소년들을 빛나게 하기도, 고통스럽게 하기도 하였다.축복과 혼돈의 힘 '라이프'! 이를 둘러싼 음모와 대전쟁의 시작.",https://comic.naver.com/webtoon/list?titleId=733076,733076
14,자판귀,9.94,윤정민,"에피소드, 스릴러","자판기에서 내가 원하는 것이 나온다!?데뷔를 꿈꾸는 연습생 박도영. 대표의 비리로 데뷔가 무산되자, 만취한 상태로 골목길을 헤매다 수상한 자판기를 보게 되는데...",https://comic.naver.com/webtoon/list?titleId=703850,703850
15,3cm 헌터,9.84,돌연변이 / 제이로빈,"스토리, 판타지","세상 사람들의 몸이 3cm로 줄어들었다. 이제는 고양이, 개미, 청소기 등 일상의 모든 것이 위협인 상황. 믿을 것은 각자에게 주어진 이능력 하나뿐이다.",https://comic.naver.com/webtoon/list?titleId=733458,733458
16,걸어서 30분,9.97,이온도,"스토리, 로맨스","은하학원 위성은과 지구봉의 귀갓길 로맨스. 세상 가장 설레는 시간, 걸어서 30분",https://comic.naver.com/webtoon/list?titleId=700844,700844
17,잉여특공대,9.76,물꾹 / 찰떡,"스토리, 판타지",뽀짝이 특공대원들의 슈퍼히어로맨스!,https://comic.naver.com/webtoon/list?titleId=740387,740387
18,후아유!,9.97,이범 / 이도윤,"스토리, 로맨스","매번 변하는 말투와 행동. 너, 대체 정체가 뭐야?",https://comic.naver.com/webtoon/list?titleId=753973,753973
19,위험한 신입사원,9.7,Jiya / 박수정,"스토리, 로맨스",신입사원만 기다려온 입사 3년 차 그녀 정유림그런데 왜 하필 회장님의 친손자가 신입 막내라니?!신입사원 연하남과 위험천만 비밀 연애가 시작된다.,https://comic.naver.com/webtoon/list?titleId=729883,729883
20,강남도깨비,9.78,이경민 / 송준혁,"스토리, 판타지","전세계 44명, 황금의 피를 가진 전교1등을 노리는 도깨비가 나타났다.지상 최대 공모전 최우수상 수상작!!",https://comic.naver.com/webtoon/list?titleId=733728,733728
21,화이트 블러드,9.97,임리나,"스토리, 판타지",스타일리쉬 뱀파이어 액션!그리고 처절한 로맨스..,https://comic.naver.com/webtoon/list?titleId=739503,739503
22,유일무이 로맨스,9.98,두부,"스토리, 로맨스",평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 사심가득 탑스타♥,https://comic.naver.com/webtoon/list?titleId=709731,709731
23,원수를 사랑하라,9.92,정윤 / 태건,"스토리, 로맨스","고생 끝, 인생 리셋!.... 도 못했는데 과거를 들키다?!늦깎이 대학생 배연희의 고군분투 캠퍼스 로맨스!",https://comic.naver.com/webtoon/list?titleId=733079,733079
24,롤랑롤랑,9.98,자유,"스토리, 판타지",코기 왕자 롤랑과 마녀 루이사의 모험 이야기.베일에 숨겨져 있던 대사제의 과거와 교단의 비밀이 드디어 밝혀지는데...,https://comic.naver.com/webtoon/list?titleId=715935,715935
25,이츠마인,9.97,럭스,"스토리, 스릴러","""어떻게 해야 널 지킬 수 있을까, 다정아?"" 10년 뒤 다정이가 죽는다는 메시지를 본 요한, 과연 그는 그녀를 지켜낼 수 있을 것인가.",https://comic.naver.com/webtoon/list?titleId=710760,710760
26,구독금지,9.91,김이연,"스토리, 스릴러",친구들과 만든 미스터리 호러 채널에 범죄자가 접속했다. 채널은 그야말로 대박이 나는데... 물 들어올 때 노 저어 말아?! 숨 막히는 생방송 스릴러!​,https://comic.naver.com/webtoon/list?titleId=730466,730466
27,미드나잇 체이서,9.6,석재윤,"스토리, 스포츠","고급차에 눈이 멀어 차를 훔친 고은구,불법도박 레이싱에 강제소환되어 위험천만 활극을 펼친다.",https://comic.naver.com/webtoon/list?titleId=724482,724482
28,동트는 로맨스,9.98,유월,"스토리, 로맨스","필름이 끊긴 사이, 짝사랑 후배와 무슨 일이...?!어리둥절해도 어쨌든 해는 뜬다, 귀염뽀짝 청춘로맨스",https://comic.naver.com/webtoon/list?titleId=746285,746285
